LNDbID,Modality,Manufacturer,ManufacturerModelName,SliceThickness,KVP,DataCollectionDiameter,ReconstructionDiameter,DistanceSourceToDetector,DistanceSourceToPatient,GantryDetectorTilt,TableHeight,RotationDirection,ExposureTime,XRayTubeCurrent,Exposure,FilterType,ConvolutionKernel,SamplesPerPixel,PhotometricInterpretation,PixelSpacing
34,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,145,CW,500,130,48,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
35,CT,SIEMENS,Sensation Cardiac 64,1,120,500,270,1040,570,0,154,CW,500,172,63,0,B50f,1,MONOCHROME2,"['0.52734375', '0.52734375']"
36,CT,SIEMENS,Sensation Cardiac 64,1,120,500,354,1040,570,0,162,CW,500,111,41,0,B50f,1,MONOCHROME2,"['0.69140625', '0.69140625']"
37,CT,SIEMENS,Sensation Cardiac 64,1,120,500,368,1040,570,0,156,CW,500,157,58,0,B50f,1,MONOCHROME2,"['0.71875', '0.71875']"
38,CT,SIEMENS,Sensation Cardiac 64,1,120,500,255,1040,570,0,179,CW,500,103,38,0,B50f,1,MONOCHROME2,"['0.498046875', '0.498046875']"
39,CT,SIEMENS,Sensation Cardiac 64,1,120,500,359,1040,570,0,191,CW,500,263,97,0,B50f,1,MONOCHROME2,"['0.701171875', '0.701171875']"
40,CT,SIEMENS,Sensation Cardiac 64,1,120,500,299,1040,570,0,173,CW,500,107,39,0,B50f,1,MONOCHROME2,"['0.583984375', '0.583984375']"
41,CT,SIEMENS,Sensation Cardiac 64,1,120,500,308,1040,570,0,208,CW,500,81,29,0,B50f,1,MONOCHROME2,"['0.6015625', '0.6015625']"
42,CT,SIEMENS,Sensation Cardiac 64,1,120,500,313,1040,570,0,141,CW,500,170,62,0,B50f,1,MONOCHROME2,"['0.611328125', '0.611328125']"
43,CT,SIEMENS,Sensation Cardiac 64,1,120,500,313,1040,570,0,169,CW,500,199,73,0,B50f,1,MONOCHROME2,"['0.611328125', '0.611328125']"
44,CT,SIEMENS,Sensation Cardiac 64,1,120,500,262,1040,570,0,135,CW,500,171,63,0,B50f,1,MONOCHROME2,"['0.51171875', '0.51171875']"
45,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,153,CW,500,308,114,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
46,CT,SIEMENS,Sensation Cardiac 64,1,120,500,381,1040,570,0,128,CW,500,354,131,0,B50f,1,MONOCHROME2,"['0.744140625', '0.744140625']"
47,CT,SIEMENS,Sensation Cardiac 64,1,120,500,333,1040,570,0,181,CW,500,146,54,0,B50f,1,MONOCHROME2,"['0.650390625', '0.650390625']"
48,CT,SIEMENS,Sensation Cardiac 64,1,120,500,365,1040,570,0,173,CW,500,240,88,0,B50f,1,MONOCHROME2,"['0.712890625', '0.712890625']"
49,CT,SIEMENS,Sensation Cardiac 64,1,120,500,367,1040,570,0,125,CW,500,234,86,0,B50f,1,MONOCHROME2,"['0.716796875', '0.716796875']"
50,CT,SIEMENS,Sensation Cardiac 64,1,120,500,268,1040,570,0,240,CW,500,47,17,0,B50f,1,MONOCHROME2,"['0.5234375', '0.5234375']"
51,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,161,CW,500,76,28,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
52,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,127,CW,500,197,72,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
53,CT,SIEMENS,Sensation Cardiac 64,1,120,500,452,1040,570,0,209,CW,500,242,89,0,B50f,1,MONOCHROME2,"['0.8828125', '0.8828125']"
54,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,170,CW,500,150,55,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
55,CT,SIEMENS,Sensation Cardiac 64,1,120,500,374,1040,570,0,162,CW,500,206,76,0,B50f,1,MONOCHROME2,"['0.73046875', '0.73046875']"
56,CT,SIEMENS,Sensation Cardiac 64,1,120,500,313,1040,570,0,157,CW,500,254,94,0,B50f,1,MONOCHROME2,"['0.611328125', '0.611328125']"
57,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,156,CW,500,313,115,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
58,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,161,CW,500,107,39,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
59,CT,SIEMENS,Sensation Cardiac 64,1,120,500,328,1040,570,0,169,CW,500,181,67,0,B50f,1,MONOCHROME2,"['0.640625', '0.640625']"
60,CT,SIEMENS,Sensation Cardiac 64,1,120,500,361,1040,570,0,172,CW,500,302,111,0,B50f,1,MONOCHROME2,"['0.705078125', '0.705078125']"
61,CT,SIEMENS,Sensation Cardiac 64,1,120,500,344,1040,570,0,149,CW,500,224,82,0,B50f,1,MONOCHROME2,"['0.671875', '0.671875']"
62,CT,SIEMENS,Sensation Cardiac 64,1,120,500,362,1040,570,0,169,CW,500,292,108,0,B50f,1,MONOCHROME2,"['0.70703125', '0.70703125']"
63,CT,SIEMENS,Sensation Cardiac 64,1,120,500,422,1040,570,0,182,CW,500,219,81,0,B50f,1,MONOCHROME2,"['0.82421875', '0.82421875']"
64,CT,SIEMENS,Sensation Cardiac 64,1,100,500,334,1040,570,0,187,CW,500,270,100,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
65,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,191,CW,500,105,38,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
66,CT,SIEMENS,Sensation Cardiac 64,1,120,500,366,1040,570,0,174,CW,500,144,53,0,B50f,1,MONOCHROME2,"['0.71484375', '0.71484375']"
67,CT,SIEMENS,Sensation Cardiac 64,1,120,500,361,1040,570,0,159,CW,500,197,72,0,B50f,1,MONOCHROME2,"['0.705078125', '0.705078125']"
68,CT,SIEMENS,Sensation Cardiac 64,1,120,500,337,1040,570,0,207,CW,500,106,39,0,B50f,1,MONOCHROME2,"['0.658203125', '0.658203125']"
69,CT,SIEMENS,Sensation Cardiac 64,1,120,500,304,1040,570,0,137,CW,500,117,43,0,B50f,1,MONOCHROME2,"['0.59375', '0.59375']"
70,CT,SIEMENS,Sensation Cardiac 64,1,120,500,272,1040,570,0,173,CW,500,324,120,0,B50f,1,MONOCHROME2,"['0.53125', '0.53125']"
71,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,196,CW,500,203,75,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
72,CT,SIEMENS,Sensation Cardiac 64,1,120,500,378,1040,570,0,158,CW,500,248,91,0,B50f,1,MONOCHROME2,"['0.73828125', '0.73828125']"
73,CT,SIEMENS,Sensation Cardiac 64,1,120,500,394,1040,570,0,157,CW,500,64,23,0,B50f,1,MONOCHROME2,"['0.76953125', '0.76953125']"
74,CT,SIEMENS,Sensation Cardiac 64,1,120,500,374,1040,570,0,173,CW,500,124,45,0,B50f,1,MONOCHROME2,"['0.73046875', '0.73046875']"
75,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,161,CW,500,237,87,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
76,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,170,CW,500,66,24,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
77,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,154,CW,500,206,76,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
78,CT,SIEMENS,Sensation Cardiac 64,1,140,500,458,1040,570,0,136,CW,500,324,120,0,B50f,1,MONOCHROME2,"['0.89453125', '0.89453125']"
79,CT,SIEMENS,Sensation Cardiac 64,1,120,500,375,1040,570,0,194,CW,500,116,42,0,B50f,1,MONOCHROME2,"['0.732421875', '0.732421875']"
80,CT,SIEMENS,Sensation Cardiac 64,1,120,500,356,1040,570,0,138,CW,500,101,37,0,B50f,1,MONOCHROME2,"['0.6953125', '0.6953125']"
81,CT,SIEMENS,Sensation Cardiac 64,1,120,500,320,1040,570,0,172,CW,500,210,77,0,B50f,1,MONOCHROME2,"['0.625', '0.625']"
82,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,134,CW,500,207,76,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
83,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,136,CW,500,215,79,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
84,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,146,CW,500,55,20,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
85,CT,SIEMENS,Sensation Cardiac 64,1,120,500,319,1040,570,0,133,CW,500,132,48,0,B50f,1,MONOCHROME2,"['0.623046875', '0.623046875']"
86,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,170,CW,500,228,84,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
87,CT,SIEMENS,Sensation Cardiac 64,1,120,500,371,1040,570,0,175,CW,500,380,140,0,B50f,1,MONOCHROME2,"['0.724609375', '0.724609375']"
88,CT,SIEMENS,Sensation Cardiac 64,1,120,500,380,1040,570,0,140,CW,500,294,108,0,B50f,1,MONOCHROME2,"['0.7421875', '0.7421875']"
89,CT,SIEMENS,Sensation Cardiac 64,1,120,500,354,1040,570,0,154,CW,500,319,118,0,B50f,1,MONOCHROME2,"['0.69140625', '0.69140625']"
90,CT,SIEMENS,Sensation Cardiac 64,1,120,500,393,1040,570,0,180,CW,500,298,110,0,B50f,1,MONOCHROME2,"['0.767578125', '0.767578125']"
91,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,175,CW,500,183,67,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
92,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,189,CW,500,120,44,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
93,CT,SIEMENS,Sensation Cardiac 64,1,120,500,373,1040,570,0,182,CW,500,67,24,0,B50f,1,MONOCHROME2,"['0.728515625', '0.728515625']"
94,CT,SIEMENS,Sensation Cardiac 64,1,120,500,353,1040,570,0,186,CW,500,108,40,0,B50f,1,MONOCHROME2,"['0.689453125', '0.689453125']"
95,CT,SIEMENS,Sensation Cardiac 64,1,120,500,340,1040,570,0,176,CW,500,177,65,0,B50f,1,MONOCHROME2,"['0.6640625', '0.6640625']"
96,CT,SIEMENS,Sensation Cardiac 64,1,120,500,312,1040,570,0,149,CW,500,54,20,0,B50f,1,MONOCHROME2,"['0.609375', '0.609375']"
97,CT,SIEMENS,Sensation Cardiac 64,1,120,500,379,1040,570,0,176,CW,500,238,88,0,B50f,1,MONOCHROME2,"['0.740234375', '0.740234375']"
98,CT,SIEMENS,Sensation Cardiac 64,1,120,500,340,1040,570,0,148,CW,500,170,62,0,B50f,1,MONOCHROME2,"['0.6640625', '0.6640625']"
99,CT,SIEMENS,Sensation Cardiac 64,1,120,500,363,1040,570,0,194,CW,500,318,117,0,B50f,1,MONOCHROME2,"['0.708984375', '0.708984375']"
100,CT,SIEMENS,Sensation Cardiac 64,1,120,500,329,1040,570,0,148,CW,500,156,57,0,B50f,1,MONOCHROME2,"['0.642578125', '0.642578125']"
101,CT,SIEMENS,Sensation Cardiac 64,1,120,500,351,1040,570,0,188,CW,500,234,86,0,B50f,1,MONOCHROME2,"['0.685546875', '0.685546875']"
102,CT,SIEMENS,Sensation Cardiac 64,1,120,500,358,1040,570,0,186,CW,500,146,54,0,B50f,1,MONOCHROME2,"['0.69921875', '0.69921875']"
103,CT,SIEMENS,Sensation Cardiac 64,1,120,500,380,1040,570,0,153,CW,500,96,35,0,B50f,1,MONOCHROME2,"['0.7421875', '0.7421875']"
104,CT,SIEMENS,Sensation Cardiac 64,1,120,500,351,1040,570,0,189,CW,500,211,78,0,B50f,1,MONOCHROME2,"['0.685546875', '0.685546875']"
105,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,389.353000000026,983,535,0,168,CW,533,105,56,None,"['Br60f', '3']",1,MONOCHROME2,"['0.613095703125', '0.6131543307']"
106,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,302.8,983,535,0,137,CW,533,106,56,None,"['Br60f', '3']",1,MONOCHROME2,"['0.59140625', '0.59140625']"
107,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,354,1085.6,595,0,146.5,CW,500,164,68,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.69140625', '0.69140625']"
108,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,326,1085.6,595,0,160.5,CW,500,213,88,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.63671875', '0.63671875']"
109,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,348.8,983,535,0,136,CW,533,51,27,None,"['Br64f', '3']",1,MONOCHROME2,"['0.68125', '0.68125']"
110,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,367.8,983,535,0,165,CW,533,97,51,None,"['Br64f', '3']",1,MONOCHROME2,"['0.718359375', '0.718359375']"
111,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,370.049000000154,983,535,0,153,CW,533,103,54,None,"['Br64f', '3']",1,MONOCHROME2,"['0.5674921875', '0.56755981595092']"
112,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,380,983,535,0,159,CW,533,102,54,None,"['Br64f', '3']",1,MONOCHROME2,"['0.7421875', '0.7421875']"
113,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,387.0,983,535,0,140,CW,533,94,50,None,"['Br64f', '3']",1,MONOCHROME2,"['0.755859375', '0.755859375']"
114,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,387.999999999984,983,535,0,155,CW,533,167,89,None,"['Br64f', '3']",1,MONOCHROME2,"['0.651533203125', '0.6510067114']"
115,CT,SIEMENS,SOMATOM Definition Flash,1,120,500,319,1085.6,595,0,200,CW,285,1522,143,WEDGE_2,B31f,1,MONOCHROME2,"['0.623046875', '0.623046875']"
116,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,299.4,983,535,0,158,CW,533,65,34,None,"['Br60f', '3']",1,MONOCHROME2,"['0.584765625', '0.584765625']"
117,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,330,983,535,0,139,CW,533,50,26,None,"['Br60f', '3']",1,MONOCHROME2,"['0.64453125', '0.64453125']"
118,CT,SIEMENS,SOMATOM Definition Flash,1,120,500,364,1085.6,595,0,164,CW,285,592,84,WEDGE_2,B50f,1,MONOCHROME2,"['0.7109375', '0.7109375']"
119,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,344.216000000056,983,535,0,144,CW,533,52,27,None,"['Br64f', '3']",1,MONOCHROME2,"['0.535732421875', '0.5353281493']"
120,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,345,1085.6,595,0,161,CW,500,90,37,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.673828125', '0.673828125']"
121,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,403.203000000084,983,535,0,181,CW,533,238,126,None,"['Br64f', '3']",1,MONOCHROME2,"['0.72442578125', '0.7238833034']"
122,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,413.8,983,535,0,176,CW,1000,59,59,None,"['Br64f', '3']",1,MONOCHROME2,"['0.808203125', '0.808203125']"
123,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,153,CW,500,140,51,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
124,CT,SIEMENS,Sensation Cardiac 64,1,120,500,364,1040,570,0,161,CW,500,298,110,0,B50f,1,MONOCHROME2,"['0.7109375', '0.7109375']"
125,CT,SIEMENS,Sensation Cardiac 64,1,100,500,262,1040,570,0,144,CW,500,118,43,0,B50f,1,MONOCHROME2,"['0.51171875', '0.51171875']"
126,CT,SIEMENS,Sensation Cardiac 64,1,120,500,345,1040,570,0,189,CW,500,234,86,0,B50f,1,MONOCHROME2,"['0.673828125', '0.673828125']"
127,CT,SIEMENS,Sensation Cardiac 64,1,120,500,344,1040,570,0,194,CW,500,176,65,0,B50f,1,MONOCHROME2,"['0.671875', '0.671875']"
128,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,449,1085.6,595,0,239.5,CW,500,421,175,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.876953125', '0.876953125']"
129,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,379,1085.6,595,0,177,CW,500,176,73,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.740234375', '0.740234375']"
130,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,321,1085.6,595,0,184,CW,500,207,86,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.626953125', '0.626953125']"
131,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,402,1085.6,595,0,164,CW,500,301,125,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.78515625', '0.78515625']"
132,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,402,1085.6,595,0,164,CW,500,196,81,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.78515625', '0.78515625']"
133,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,320,1085.6,595,0,115.5,CW,500,89,37,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.625', '0.625']"
134,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,325,1085.6,595,0,159,CW,500,182,75,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.634765625', '0.634765625']"
135,CT,SIEMENS,SOMATOM Definition Flash,1,120,500,419,1085.6,595,0,175.5,CW,285,1577,224,WEDGE_2,B50f,1,MONOCHROME2,"['0.818359375', '0.818359375']"
136,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,452.300999999772,983,535,0,155,CW,1000,71,71,None,"['Br64f', '3']",1,MONOCHROME2,"['0.714384765625', '0.714535545']"
137,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,342.000000000024,983,535,0,197,CW,533,70,37,None,"['Br64f', '3']",1,MONOCHROME2,"['0.552625', '0.5525040388']"
138,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,336,1085.6,595,0,181,CW,500,210,87,WEDGE_3,"['I70f', '2']",1,MONOCHROME2,"['0.65625', '0.65625']"
139,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,385.852000000094,983,535,0,143,CW,533,96,51,None,"['Br64f', '3']",1,MONOCHROME2,"['0.53518359375', '0.5351622746']"
140,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,377.509000000108,983,535,0,141,CW,533,59,31,None,"['Br64f', '3']",1,MONOCHROME2,"['0.57175390625', '0.5719833333']"
141,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,295.110999999998,983,535,0,134,CW,533,47,25,None,"['Br64f', '3']",1,MONOCHROME2,"['0.473337890625', '0.47369341894061']"
142,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,361.999999999812,983,535,0,180,CW,533,114,60,None,"['Br64f', '3']",1,MONOCHROME2,"['0.626810546875', '0.6262975779']"
143,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,357.681000000004,983,535,0,152,CW,533,70,37,None,"['Br64f', '3']",1,MONOCHROME2,"['0.589349609375', '0.5892602965']"
144,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,380.925000000132,983,535,0,164,CW,533,67,35,None,Br64f,1,MONOCHROME2,"['0.616626953125', '0.6163834951']"
145,CT,SIEMENS,SOMATOM Definition Flash,1,120,500,358,1085.6,595,0,187,CW,285,1028,145,WEDGE_2,B50f,1,MONOCHROME2,"['0.69921875', '0.69921875']"
146,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,383,1085.6,595,0,163.5,CW,500,225,93,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.748046875', '0.748046875']"
147,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,339,1085.6,595,0,164,CW,500,192,80,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.662109375', '0.662109375']"
148,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,392.037000000038,983,535,0,135,CW,533,106,56,None,"['Br64f', '3']",1,MONOCHROME2,"['0.609826171875', '0.6096998445']"
149,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,332,1085.6,595,0,164,CW,500,92,38,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.6484375', '0.6484375']"
150,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,369.460000000094,983,535,0,136,CW,533,89,47,None,"['Br64f', '3']",1,MONOCHROME2,"['0.488654296875', '0.4887037037']"
151,CT,SIEMENS,SOMATOM Definition Flash,1,100,500,297,1085.6,595,0,164,CW,500,137,57,WEDGE_3,"['I50f', '2']",1,MONOCHROME2,"['0.580078125', '0.580078125']"
152,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,360.669999999808,983,535,0,133,CW,533,82,43,None,"['Br64f', '3']",1,MONOCHROME2,"['0.48583203125', '0.4860781671']"
153,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,379.355000000122,983,535,0,154,CW,533,113,60,None,"['Br64f', '3']",1,MONOCHROME2,"['0.576904296875', '0.5765273556231']"
154,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,345.389999999994,983,535,0,172,CW,533,110,58,None,"['Br64f', '3']",1,MONOCHROME2,"['0.601197265625', '0.6006782609']"
155,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,333.76100000010,983,535,0,125,CW,533,73,38,None,"['Br64f', '3']",1,MONOCHROME2,"['0.47876953125', '0.4788536585']"
156,CT,SIEMENS,SOMATOM go.Up,1,130.000,499.8,356.000000000114,983,535,0,136,CW,533,58,30,None,"['Br64f', '3']",1,MONOCHROME2,"['0.518677734375', '0.5189504373']"
