What is the full name of the HAID resource?,HAID stands for Health AI Data Resource.
"Which of the 8 coarse lesion categories is the most common in the DeepLesion test set, making up about 30% of lesions?",Type 1: Lung nodules.
"What type of clinical measurements, commonly used for tracking tumor size, are provided for each lesion in the DeepLesion dataset?",RECIST Measurements (long and short axis diameters).
The repository and preprocessing code for HAID are licensed under which license?,Apache License 2.0.
"Which HAID dataset, originating from the NIH Clinical Center, aims to support universal lesion detection models?",DeepLesion-1kTest3D.
How many patients are included in the IMDCT dataset for indeterminate pulmonary nodules?,"2,032 unique patients."
The BIMCV-R dataset contains CT scans from how many unique patients?,"5,340 unique patients."
What is the total number of CT scans available in the BIMCV-R dataset?,"8,069 CT scans."
"In the LUNGx dataset, what is the distribution of benign versus malignant nodules?",57 benign (60.6%) and 37 malignant (39.4%).
Which HAID dataset is a multi-institutional effort from Portugal featuring dual annotation sources from both radiological annotations and text report extractions?,LNDb v4.
Which U.S. university health system is the source of the DLCS 2024 dataset?,Duke University Health System.
The LIDC-IDRI dataset uses a two-phase annotation process consisting of a blinded read followed by an _____ review.,unblinded
The U-10 dataset aggregates 10 public COVID-19 datasets and provides them in what ready-to-use file format for TensorFlow?,TFRecords.
How were the original annotations for the DeepLesion dataset sourced from clinical practice at the NIH Clinical Center?,They were sourced from PACS system bookmarks.
The UniToChest dataset features standardized preprocessing where scans are resampled to a uniform spacing of [_____] mm.,"0.703125, 0.703125, 1.25"
The NLST-3D dataset is derived from a trial that screened a high-risk population with a 30+ _____ smoking history.,pack-year
"In the DLCS 2024 dataset, what percentage of scans were withheld as a reserved test set for future challenges?",21.7% (448 scans).
The LUNA25 dataset uses the _____ deep learning model for precise nodule boundary segmentation.,PiNS
What is the primary data source for the NSCLC-Radiomics and LIDC-IDRI datasets?,TCIA - The Cancer Imaging Archive.
The MIDRC-RICORD dataset consists of two versions: 1A for COVID-19 positive cases and 1B for _____.,COVID-19 negative control cases
"Which HAID dataset, with over 12,000 CT volumes, is the largest by volume count due to its aggregation of 10 separate datasets?",U-10 (United-10).
What is the modality for all 13 datasets currently available in the HAID resource?,CT (Computed Tomography).
What is the condition studied in the LUNGx dataset?,Lung nodule classification.
Which dataset is a large-scale collection focused on COVID-19 from the Valencia Region in Spain?,BIMCV-R.
Which dataset from China focuses specifically on indeterminate pulmonary nodules with 100% pathological confirmation?,IMDCT.
The annotation methodology for the DLCS 2024 dataset reduced radiologist annotation time by over what percentage?,Over 90%.
"Which dataset, organized by Radboud University Medical Center, extends the LUNA16 challenge with AI-generated segmentations?",LUNA25.
The NLST was a landmark randomized trial involving how many screening centers across the USA?,33 US screening centers.
"In the DeepLesion-1kTest3D dataset, which lesion type corresponds to liver lesions?",Type 4.
What is the license for the LIDC-IDRI dataset?,Creative Commons Attribution 3.0 Unported License.
The DLCS 2024 dataset has a specific Creative Commons license that includes 'NonCommercial' and 'NoDerivatives' clauses. What is its full name?,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.
